|---------------------------+-------+----------+--------|
|  country                  | user  | abovelv1 | mean   |
|---------------------------+-------+----------+--------|
|  Afghanistan              | 69    | 17.4%    | 2.7%   |
|  Albania                  | 125   | 30.4%    | 3.5%   |
|  Algeria                  | 191   | 23.6%    | 3.2%   |
|  Andorra                  | 35    | 31.4%    | 3.8%   |
|  Angola                   | 17    | 23.5%    | 2.8%   |
|  Antigua                  | 7     | 0%       | 1.6%   |
|  Argentina                | 1009  | 35.6%    | 4.3%   |
|  Armenia                  | 127   | 23.6%    | 2.8%   |
|  Aruba                    | 4     | 25%      | 2.5%   |
|  Australia                | 3562  | 38.6%    | 5%     |
|  Austria                  | 1164  | 39.2%    | 5%     |
|  Azerbaijan               | 125   | 20%      | 3.3%   |
|  Bahamas                  | 14    | 35.7%    | 4.1%   |
|  Bahrain                  | 27    | 44.4%    | 4.9%   |
|  Bangladesh               | 1150  | 18.3%    | 2.4%   |
|  Barbados                 | 14    | 21.4%    | 2.7%   |
|  Belarus                  | 601   | 35.3%    | 5.4%   |
|  Belgium                  | 1692  | 40.5%    | 5.5%   |
|  Belize                   | 13    | 30.8%    | 4%     |
|  Benin                    | 11    | 9.1%     | 2%     |
|  Bermuda                  | 14    | 42.9%    | 5.6%   |
|  Bhutan                   | 13    | 23.1%    | 4.8%   |
|  Bolivia                  | 112   | 21.4%    | 2.8%   |
|  Bosnia                   | 146   | 26.7%    | 3%     |
|  Botswana                 | 11    | 27.3%    | 3.3%   |
|  Brazil                   | 3683  | 19.5%    | 2.7%   |
|  Brunei                   | 16    | 12.5%    | 2.3%   |
|  Bulgaria                 | 842   | 35.6%    | 5%     |
|  Burkina Faso             | 12    | 25%      | 2.4%   |
|  Burundi                  | 6     | 0%       | 1.4%   |
|  Cambodia                 | 32    | 15.6%    | 2.3%   |
|  Cameroon                 | 37    | 13.5%    | 2%     |
|  Canada                   | 6791  | 37.6%    | 4.7%   |
|  Cape Verde               | 13    | 38.5%    | 6.8%   |
|  Caribbean Netherlands    | 5     | 20%      | 5.8%   |
|  Cayman Islands           | 7     | 42.9%    | 3.6%   |
|  Central African Republic | 12    | 25%      | 2.9%   |
|  Chad                     | 3     | 0%       | 0.8%   |
|  Chile                    | 418   | 26.6%    | 3.9%   |
|  China                    | 5814  | 40.9%    | 5.6%   |
|  Christmas Island         | 25    | 20%      | 2.2%   |
|  Colombia                 | 592   | 19.6%    | 2.8%   |
|  Comoros                  | 5     | 20%      | 3.8%   |
|  Congo                    | 9     | 11.1%    | 1.7%   |
|  Costa Rica               | 98    | 19.4%    | 2.4%   |
|  Croatia                  | 617   | 34.7%    | 5.3%   |
|  Cuba                     | 127   | 28.3%    | 4.2%   |
|  Curacao                  | 5     | 20%      | 2.9%   |
|  Cyprus                   | 104   | 36.5%    | 4.1%   |
|  Czech Republic           | 1251  | 42%      | 5.5%   |
|  Denmark                  | 1756  | 37.8%    | 4.8%   |
|  Djibouti                 | 26    | 15.4%    | 2.6%   |
|  Dominica                 | 4     | 25%      | 3.1%   |
|  Dominican Republic       | 280   | 17.5%    | 2.4%   |
|  DPR of Korea             | 49    | 32.7%    | 4.2%   |
|  DR of Congo              | 17    | 29.4%    | 4.7%   |
|  East Timor               | 5     | 0%       | 1.7%   |
